triplet,outgroup,C1,C2,mixprop1,mixprop2,lambda2Dist,lambda1Dist,BIC2Dist,BIC1Dist,count
GCA_20031_20045,GCA,0.0,0.5386826297017112,0.3570439338466195,0.6429560661533806,0.006650132940027526,0.007998618944072949,-5069.450178701206,-5031.798876670343,658
GCA_20031_20045,20031,0.0,10.197380834457597,0.8090856615494169,0.19091433845058337,0.0032119227997570565,0.009146154142857145,-164.06377293130794,-152.12119317515854,21
GCA_20031_20045,20045,0.0,14.97484998080752,0.9166640067602357,0.08333599323976426,0.00855978525088956,0.0192415732625,-154.43797571580524,-138.45468537064656,24
GCA_20031_Amaapr1,GCA,0.0,0.8259948992679045,0.5668584983825836,0.43314150161741644,0.0049882148226966655,0.006157131248761905,-4290.369243814986,-4288.388133832901,525
GCA_20031_Amaapr1,20031,0.0,3.3588890725608955,0.8885461436650289,0.11145385633497121,0.0025139681059970194,0.003581080608,-677.5948743490505,-690.4961136323268,75
GCA_20031_Amaapr1,Amaapr1,0.0,8.871534949820639,0.9033309187506724,0.0966690812493278,0.012496371893596763,0.021737301166990297,-604.4173275388996,-578.082733559467,103
GCA_20031_30000,GCA,0.0,23.060215894367417,0.9746688675574879,0.02533113244251212,0.003665290922998039,0.005483588782269504,-2504.97056300713,-2366.539557800867,282
GCA_20031_30000,20031,0.0,56.7397210482648,0.9955947136563876,0.004405286343612339,0.0031448868042233177,0.00393096602246696,-2131.4311097498494,-2055.2220645151733,227
GCA_20031_30000,30000,0.0,17.32021836226304,0.9735482809613277,0.02645171903867236,0.004689817316447895,0.006592678221649484,-1621.540446316349,-1555.1888370083427,194
GCA_20031_30021,GCA,0.0,10.394872432879732,0.9438439015513266,0.056156098448673385,0.0036690493554651657,0.005623538745569621,-1359.7253842710738,-1316.0683542198635,158
GCA_20031_30021,20031,0.0,35.0678552884373,0.9954648516157656,0.004535148384234504,0.0038324527945771897,0.004441109512471655,-3979.2497770842033,-3889.573575543627,441
GCA_20031_30021,30021,0.0,17.263867577730267,0.9354579537580082,0.06454204624199177,0.006447397577561464,0.011926051932692305,-766.9560642796272,-708.593856113187,104
GCA_20031_11667,GCA,0.0,11.40721037321607,0.9198945664587911,0.08010543354120904,0.006889160226633392,0.012339829576923079,-554.5520832615138,-525.2512902840016,78
GCA_20031_11667,20031,0.0,112.91980003263602,0.9848484848484849,0.015151515151515152,0.005356337381266974,0.014520527584848482,-533.9713395409212,-422.45968070449584,66
GCA_20031_11667,11667,0.0,0.8887300592884434,0.21726331767193266,0.7827366823280673,0.005849492706663084,0.008300154957960645,-4318.980747120891,-4232.549714423857,559
GCA_20045_Amaapr1,GCA,0.0,0.8363990357935234,0.3874921259819507,0.6125078740180494,0.004522769441515528,0.005955174070849421,-4294.397055761681,-4265.690684758986,518
